충전소ID,충전소명,충전소주소,위도,경도
4543,송촌공영주차장,대전광역시 대덕구 송촌동 478-2,36.36354038,127.4404229
4544,연무안심시장,충청남도 논산시 연무읍 안심리 19-31,36.12892739,127.0990122
4545,신관동공영주차타워,충청남도 공주시 신관동 639-3,36.47212824,127.1354648
4546,한국전자통신연구원,대전광역시 유성구 가정동 161,36.38304906,127.3665236
4547,연산전통시장,충청남도 논산시 연산면 연산리 367-13,36.21553165,127.2161555
4548,논산계룡교육지원청,충청남도 논산시 취암동 307-2,36.20232618,127.0935698
4528,전라남도담양교육지원청,전라남도 담양군 담양읍 강쟁리 176-6,35.30063,126.97837
4529,문경시민운동장 충전소,경상북도 문경시 모전동 산 12-2,36.59462889,128.1853399
4530,가평하수도사업소,경기도 가평군 가평읍 달전리 364,37.81631176,127.5204436
4531,문경관광진흥공단,경상북도 문경시 문경읍 고요리 산 89-4,36.73739244,128.1577433
4532,가평소방서,경기도 가평군 가평읍 대곡리 213-5,37.82326005,127.5165479
4524,관악구 종합체육센타,서울특별시 관악구 봉천동 225,37.47292208,126.9600934
4525,빙수골 장미주차장,서울특별시 동작구 상도동 301-132,37.49330381,126.9336732
4526,세교종합사회복지관,경기도 오산시 금암동 512,37.17803404,127.0450206
4519,목포국제축구센터,전라남도 목포시 대양동 950-4,34.8294382,126.3964579
4520,내손동공용청사,경기도 의왕시 내손동 849-2,37.38715172,126.9811249
4521,의왕시평생학습관,경기도 의왕시 오전동 852,37.35507475,126.9747286
4522,포일어울림센터,경기도 의왕시 포일동 686,37.39636363,126.9819654
4509,청라 BRT 통합차고지,인천광역시 서구 청라동 1-1401,37.51357446,126.6249805
4510,예천군청,경상북도 예천군 예천읍 대심리 353,36.6476375,128.4392562
4511,서천군청 주차장,충청남도 서천군 서천읍 군사리 356-10,36.08025127,126.6922633
4512,군위군농업기술센터,경상북도 군위군 효령면 성리 111,36.18128536,128.5931506
4513,월곡2동 행정복지센터,광주광역시 광산구 월곡동 490-7,35.17437124,126.8078743
4514,도산동 행복나루 노인복지관,광주광역시 광산구 도산동 925-1,35.13471568,126.7953688
4515,용유119소방안전센터,인천광역시 중구 을왕동 186-28,37.44847822,126.3938961
4516,롯데마트 영종도점,인천광역시 중구 운서동 2803-2,37.49266895,126.4912323
4517,송도소방서,인천광역시 연수구 송도동 208-1,37.36735109,126.6516574
4518,하망동 행정복지센터 공용주차장,경상북도 영주시 하망동 299-8,36.82384624,128.6303305
4507,서면종합복지관,경상남도 남해군 서면 서상리 707-1,34.80981862,127.8388467
4508,동창선 다누리 플랫폼,경상남도 남해군 창선면 오용리 473-1,34.86979577,128.0412104
4505,길안면행정복지센터 공영주차장,경상북도 안동시 길안면 천지리 545-1,36.45618428,128.8941504
4506,인제지사(공용),강원도 인제군 인제읍 남북리 294-1,38.06598223,128.1662156
4487,밀양소방서,경상남도 밀양시 교동 산 26,35.49987961,128.7587191
4488,한전 고성지사,경상남도 고성군 고성읍 동외리 334-2,34.97267,128.32589
4489,CGV 신대점,전라남도 순천시 해룡면 신대리 2139,34.92663,127.55258
4490,월등면행정복지센터,전라남도 순천시 월등면 대평리 241-9,35.09343159,127.380353
4491,대합일반산업단지 전기차 충전소,경상남도 창녕군 대합면 합리 1422,35.61100399,128.4367826
4492,산외면 문화센터,경상남도 밀양시 산외면 다죽리 123-2,35.50154788,128.81526
4493,도천면주민자치센터 전기차 충전소,경상남도 창녕군 도천면 일리 663-1,35.43617333,128.5153495
4494,진동복지타운,경상남도 창원시 마산합포구 진동면 진동리 872,35.1158389,128.4835251
4495,산외면 행정복지센터,경상남도 밀양시 산외면 다죽리 217-3,35.50248902,128.8149446
4496,부북면 행정복지센터,경상남도 밀양시 부북면 운전리 483,35.51107049,128.7297338
4497,춘화농공단지 주차장,경상남도 밀양시 부북면 춘화리 839,35.53178116,128.7252837
4498,덕동시립테니스장,경상남도 창원시 마산합포구 덕동동 692,35.13336087,128.5674856
4499,농업기술센터,경기도 남양주시 진건읍 사능리 92-1,37.648621,127.195867
4500,구리문화원,경기도 구리시 인창동 699-1,37.611949,127.139284
4501,테크노밸리 상우주차장,경상남도 김해시 진례면 고모리 1577-7,35.27047059,128.7752479
4502,테크노밸리 상평주차장,경상남도 김해시 진례면 담안리 1563-6,35.2601003,128.770157
4503,분성체육공원,경상남도 김해시 동상동 416-1,35.24008594,128.8892565
4504,한국승강기대학교,경상남도 거창군 거창읍 송정리 700,35.67459249,127.8955133
4476,칠북면 보건지소,경상남도 함안군 칠북면 검단리 379-3,35.34569694,128.5213946
4477,법수문화마을회관,경상남도 함안군 법수면 우거리 1003-3,35.31336798,128.3542989
4478,파수공단복지회관,경상남도 함안군 함안면 파수리 465-9,35.23798717,128.4070103
4479,산인공단회관,경상남도 함안군 산인면 신산리 578,35.26994157,128.4671992
